Format,DataType,Size,Save,Load,FileSize (KB)
lzmaPickleV2,text,5000,0.243737984,0.110905409,5.31
lzmaPickleV2,ones,5000,0.089842606,0.006716204,0.74
lzmaPickleV2,int64,5000,0.420950413,0.016442823,21.61
lzmaPickleV2,datetime64,5000,0.352487612,0.020679998,31.57
lzmaPickleV2,floatToInt,5000,0.17917223,0.011480999,18.08
lzmaPickleV2,roundFloat,5000,0.26441679,0.013620615,21.58
pd_json_records,category,10000,0.035552597,3.78278904,262.59
pd_json_records,float64,10000,0.076543188,1.872137213,315.21
pd_json_records,text,10000,0.034031391,3.78064456,223.53
pd_json_records,ones,10000,0.032293844,3.419542789,174.7
pd_json_records,int64,10000,0.045715618,3.420950794,237.02
pd_json_records,datetime64,10000,0.117052984,3.434701395,350.48
pd_json_records,floatToInt,10000,0.043479395,3.416575575,279.38
pd_json_records,roundFloat,10000,0.074250793,1.872974586,288.32
cPickle,category,10000,0.012032604,0.009301996,38.27
cPickle,float64,10000,0.047102594,0.045706034,232.23
cPickle,text,10000,0.064493799,0.057413006,146.46
cPickle,ones,10000,0.03864522,0.031105995,157.19
cPickle,int64,10000,0.065516615,0.05633359,289.1
cPickle,datetime64,10000,0.058670759,0.052882385,269.19
cPickle,floatToInt,10000,0.029480028,0.027386045,135.25
cPickle,roundFloat,10000,0.042416382,0.043725204,222.29
pd_msgpack_blosc,category,10000,0.005699396,0.003388596,10.19
pd_msgpack_blosc,float64,10000,0.010902405,0.002919817,75.8
pd_msgpack_blosc,text,10000,0.014447021,0.008722019,58.92
pd_msgpack_blosc,ones,10000,0.003371811,0.002101612,0.56
pd_msgpack_blosc,int64,10000,0.007542229,0.003239822,54.47
pd_msgpack_blosc,datetime64,10000,0.003369999,0.002534771,8.41
pd_msgpack_blosc,floatToInt,10000,0.006114388,0.002541399,31.17
pd_msgpack_blosc,roundFloat,10000,0.010225582,0.003247404,73.91
gzPickleV2,category,10000,0.015422583,0.008404636,7.13
gzPickleV2,float64,10000,0.031326437,0.008498383,75.69
gzPickleV2,text,10000,1.091505575,0.428699398,30.44
gzPickleV2,ones,10000,0.020226002,0.006032228,0.63
gzPickleV2,int64,10000,0.321038628,0.007986403,35.49
gzPickleV2,datetime64,10000,0.380839014,0.008479214,47.33
gzPickleV2,floatToInt,10000,0.027273989,0.007194805,30.24
gzPickleV2,roundFloat,10000,0.076345634,0.008021832,34.99
pd_msgpack_zlib,category,10000,0.004279566,0.003504801,6.78
pd_msgpack_zlib,float64,10000,0.023252201,0.004218626,75.35
pd_msgpack_zlib,text,10000,0.015236568,0.008646631,58.91
pd_msgpack_zlib,ones,10000,0.003398991,0.002121592,0.37
pd_msgpack_zlib,int64,10000,0.046506023,0.003553438,35.25
pd_msgpack_zlib,datetime64,10000,0.039566803,0.0039258,47.05
pd_msgpack_zlib,floatToInt,10000,0.019042969,0.003149605,29.9
pd_msgpack_zlib,roundFloat,10000,0.046177769,0.003579807,34.81
pd_msgpack,category,10000,0.002868414,0.00341239,10.41
pd_msgpack,float64,10000,0.007087803,0.002349186,78.43
pd_msgpack,text,10000,0.014952374,0.008605194,58.89
pd_msgpack,ones,10000,0.004296827,0.002069187,39.36
pd_msgpack,int64,10000,0.006188583,0.002336597,78.42
pd_msgpack,datetime64,10000,0.006438589,0.002353811,78.44
pd_msgpack,floatToInt,10000,0.003866196,0.002075386,39.36
pd_msgpack,roundFloat,10000,0.006249809,0.002350426,78.43
pd_Pickle,category,10000,0.004244995,0.00202179,10.76
pd_Pickle,float64,10000,0.007044029,0.00188179,78.79
pd_Pickle,text,10000,0.038283014,0.026462793,107.46
pd_Pickle,ones,10000,0.004399395,0.001667786,39.72
pd_Pickle,int64,10000,0.006493616,0.001897621,78.78
pd_Pickle,datetime64,10000,0.006334782,0.001927185,78.8
pd_Pickle,floatToInt,10000,0.005443239,0.001630831,39.73
pd_Pickle,roundFloat,10000,0.006155777,0.001886606,78.79
PickleV0,category,10000,0.014547825,0.006133604,38.43
PickleV0,float64,10000,0.052568007,0.010930586,232.34
PickleV0,text,10000,0.243911791,0.238644409,146.62
PickleV0,ones,10000,0.043153811,0.008301401,157.3
PickleV0,int64,10000,0.068062401,0.012314367,289.21
PickleV0,datetime64,10000,0.061473608,0.012120819,269.32
PickleV0,floatToInt,10000,0.031239176,0.007897615,135.36
PickleV0,roundFloat,10000,0.045222569,0.010511589,222.4
PickleV1,category,10000,0.006731796,0.004284573,10.92
PickleV1,float64,10000,0.010266209,0.003307009,78.92
PickleV1,text,10000,0.241894817,0.13596859,107.65
PickleV1,ones,10000,0.00938158,0.003124619,39.85
PickleV1,int64,10000,0.009070015,0.003298378,78.92
PickleV1,datetime64,10000,0.009215164,0.003389978,78.94
PickleV1,floatToInt,10000,0.00740099,0.003185797,39.86
PickleV1,roundFloat,10000,0.009048986,0.003302193,78.92
PickleV2,category,10000,0.006897163,0.003814793,10.82
PickleV2,float64,10000,0.009872007,0.00308218,78.84
PickleV2,text,10000,0.24241643,0.136193037,107.56
PickleV2,ones,10000,0.007562017,0.002894402,39.77
PickleV2,int64,10000,0.009448576,0.00309639,78.83
PickleV2,datetime64,10000,0.009104824,0.003200817,78.86
PickleV2,floatToInt,10000,0.007138014,0.0028862,39.78
PickleV2,roundFloat,10000,0.008981991,0.003078413,78.84
pd_hdf5_table,category,10000,0.189668989,0.09781599,243.86
pd_hdf5_table,float64,10000,0.079752588,0.037022161,213.99
pd_hdf5_table,text,10000,0.088949585,0.04138999,149.93
pd_hdf5_table,ones,10000,0.079964209,0.037811184,149.97
pd_hdf5_table,int64,10000,0.079440594,0.036943626,213.99
pd_hdf5_table,datetime64,10000,0.080366611,0.037257576,213.99
pd_hdf5_table,floatToInt,10000,0.080878973,0.037148809,149.98
pd_hdf5_table,roundFloat,10000,0.079981613,0.036967564,213.99
pd_json_split,category,10000,0.035263824,3.774314165,262.59
pd_json_split,float64,10000,0.073563576,1.867700386,315.21
pd_json_split,text,10000,0.034091616,3.771510029,223.53
pd_json_split,ones,10000,0.032373571,3.407490397,174.7
pd_json_split,int64,10000,0.045870972,3.407324028,237.02
pd_json_split,datetime64,10000,0.117086411,3.426613808,350.48
pd_json_split,floatToInt,10000,0.043488026,3.406885386,279.38
pd_json_split,roundFloat,10000,0.074171209,1.867989016,288.32
pd_csv,category,10000,0.055985403,0.026652193,96.58
pd_csv,float64,10000,0.083095026,0.03348999,195.84
pd_csv,text,10000,0.055534601,0.032963991,96.58
pd_csv,ones,10000,0.055974817,0.028570414,67.28
pd_csv,int64,10000,0.065024424,0.033889198,119.84
pd_csv,datetime64,10000,0.259351778,0.051761246,340.72
pd_csv,floatToInt,10000,0.061944628,0.033690405,113.38
pd_csv,roundFloat,10000,0.07468977,0.028199005,122.32
pd_json_index,category,10000,0.035290813,3.77570858,262.59
pd_json_index,float64,10000,0.073369026,1.870151806,315.21
pd_json_index,text,10000,0.034131002,3.779559374,223.53
pd_json_index,ones,10000,0.031236219,3.410838795,174.7
pd_json_index,int64,10000,0.045819187,3.424321604,237.02
pd_json_index,datetime64,10000,0.117783022,3.430805397,350.48
pd_json_index,floatToInt,10000,0.043661213,3.413872766,279.38
pd_json_index,roundFloat,10000,0.074337196,1.872057772,288.32
pd_hdf5_fixed,category,10000,,,
pd_hdf5_fixed,float64,10000,0.042046022,0.024876785,163.29
pd_hdf5_fixed,text,10000,0.104867411,0.0373106,1218.09
pd_hdf5_fixed,ones,10000,0.033935404,0.024870205,124.23
pd_hdf5_fixed,int64,10000,0.037777805,0.024985218,163.29
pd_hdf5_fixed,datetime64,10000,0.039254999,0.025246382,163.29
pd_hdf5_fixed,floatToInt,10000,0.034523964,0.024817038,124.23
pd_hdf5_fixed,roundFloat,10000,0.037700844,0.025537014,163.29
lzmaPickleV2,category,10000,0.129523993,0.009151602,8.39
lzmaPickleV2,float64,10000,0.550777769,0.037863636,93.19
lzmaPickleV2,text,10000,0.4705338,0.217687416,9.46
lzmaPickleV2,ones,10000,0.146224213,0.009544182,0.75
lzmaPickleV2,int64,10000,0.818779802,0.026113987,41
lzmaPickleV2,datetime64,10000,0.67104001,0.036267376,52.28
lzmaPickleV2,floatToInt,10000,0.347151613,0.018652821,34.45
lzmaPickleV2,roundFloat,10000,0.54127264,0.022750187,40.93
pd_json_records,category,50000,0.186283207,18.93308859,1356.34
pd_json_records,float64,50000,0.374603176,9.351241779,1619.47
pd_json_records,text,50000,0.188229227,18.93634877,1161.03
pd_json_records,ones,50000,0.165555573,17.08864942,916.89
pd_json_records,int64,50000,0.2379632,17.1075222,1228.57
pd_json_records,datetime64,50000,0.595075798,17.20016961,1795.79
pd_json_records,floatToInt,50000,0.226053619,17.17135181,1440.58
pd_json_records,roundFloat,50000,0.378376627,9.38249898,1484.53
cPickle,category,50000,0.043713999,0.037067795,185.73
cPickle,float64,50000,0.218930435,0.220621586,1157.47
cPickle,text,50000,0.313419199,0.295509815,771.46
cPickle,ones,50000,0.170087576,0.1468472,782.19
cPickle,int64,50000,0.296401787,0.272910833,1443.49
cPickle,datetime64,50000,0.266974211,0.255169201,1342.29
cPickle,floatToInt,50000,0.138999176,0.128314781,671.99
cPickle,roundFloat,50000,0.204509401,0.210458612,1106.31
pd_msgpack_blosc,category,50000,0.00750103,0.004751396,47
pd_msgpack_blosc,float64,50000,0.037131786,0.006424999,377.6
pd_msgpack_blosc,text,50000,0.063395405,0.036394978,293.3
pd_msgpack_blosc,ones,50000,0.004958582,0.002986002,1.17
pd_msgpack_blosc,int64,50000,0.033389616,0.008355379,269.13
pd_msgpack_blosc,datetime64,50000,0.007664204,0.004855013,16.83
pd_msgpack_blosc,floatToInt,50000,0.018230009,0.004641199,153.68
pd_msgpack_blosc,roundFloat,50000,0.034005976,0.008405018,363.77
gzPickleV2,category,50000,0.025000572,0.0097188,31.97
gzPickleV2,float64,50000,0.107898378,0.017883587,376.01
gzPickleV2,text,50000,5.781132221,2.134800625,148.1
gzPickleV2,ones,50000,0.017411995,0.007350969,0.81
gzPickleV2,int64,50000,1.682642603,0.015380812,172.46
gzPickleV2,datetime64,50000,1.088978767,0.016599989,207.15
gzPickleV2,floatToInt,50000,0.127909803,0.012322807,148.25
gzPickleV2,roundFloat,50000,0.406759405,0.015565395,168.93
pd_msgpack_zlib,category,50000,0.014759827,0.005462217,31.58
pd_msgpack_zlib,float64,50000,0.100327587,0.012328625,375.67
pd_msgpack_zlib,text,50000,0.062977839,0.036508608,293.28
pd_msgpack_zlib,ones,50000,0.00959816,0.002921391,0.52
pd_msgpack_zlib,int64,50000,0.246151209,0.009266996,172.95
pd_msgpack_zlib,datetime64,50000,0.163347769,0.010802794,207.92
pd_msgpack_zlib,floatToInt,50000,0.116212988,0.007455587,147.9
pd_msgpack_zlib,roundFloat,50000,0.252195597,0.009307384,169.54
pd_msgpack,category,50000,0.006247616,0.004268599,49.47
pd_msgpack,float64,50000,0.017642403,0.003466225,390.93
pd_msgpack,text,50000,0.066161776,0.036529589,293.27
pd_msgpack,ones,50000,0.010727978,0.002686787,195.61
pd_msgpack,int64,50000,0.017724419,0.003477573,390.92
pd_msgpack,datetime64,50000,0.015714979,0.003606176,390.94
pd_msgpack,floatToInt,50000,0.017888784,0.002705193,195.62
pd_msgpack,roundFloat,50000,0.016321039,0.0034904,390.93
pd_Pickle,category,50000,0.005625391,0.002198601,49.82
pd_Pickle,float64,50000,0.018769598,0.00313921,391.29
pd_Pickle,text,50000,0.204649019,0.125784779,537.23
pd_Pickle,ones,50000,0.010710812,0.002226591,195.97
